text,paraphrase,BLUE_score,TER_score,ROUGE1_score,ROUGE2_score,ROUGEL_score,SACREBLUE_score
"This was a series of nested angular standards , so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic .",The standards were nested so that the elevation and azimuth could be measured in polar coordinates.,0.0,71.42857142857143,0.6190476190476191,0.2,0.4285714285714286,7.790734093036271
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"When his wife became ill, his father returned to Missouri, but before the rest of the family could go to America.",0.42747399838566474,48.148148148148145,0.8936170212765957,0.6222222222222222,0.6382978723404256,42.74739983856649
"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .",The venue was inspected in January of 2011 by the deputy secretary general of FIBA Asia.,0.0,70.37037037037037,0.6842105263157896,0.4444444444444444,0.5263157894736842,5.86610052641014
"Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .","In the right circumstances, the spiritual world can be explored by practicing ethical and cognitive forms of self-discipline.",0.5241533390200926,42.857142857142854,0.8444444444444443,0.7441860465116279,0.8444444444444443,52.41533390200922
"Luciano Williames Dias ( born July 25 , 1970 ) is a Brazilian football coach and former player .",Luciano Williames Dias is a Brazilian football coach and former player.,0.4656537051333338,47.368421052631575,0.846153846153846,0.75,0.846153846153846,46.56537051333338
"During her sophomore , junior and senior summers , she spent half of it with her Alaska team , and half playing , and living in Oregon .","She lived in Oregon during her sophomore, junior and senior summers, and spent half of it with her Alaska team.",0.5245912112946813,57.14285714285714,0.8837209302325583,0.6829268292682926,0.6976744186046512,52.459121129468144
The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .,The smallest number can be represented in two positive and seventh ways.,0.35982733155949415,52.17391304347826,0.7058823529411764,0.6249999999999999,0.7058823529411764,35.98273315594942
"His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .","When his wife became ill, his father returned to Missouri, but before the rest of the family could go to America.",0.5218604249014074,48.148148148148145,0.9130434782608696,0.6818181818181818,0.6521739130434783,52.186042490140736
"The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .",The Villa Pesquera facilities are operated by the fishermen.,0.27467849359067037,57.89473684210527,0.6923076923076924,0.5833333333333334,0.6923076923076924,27.467849359067053
It is situated south of Köroğlu Mountains and to the north of Bolu .,It is to the north of Bolu and south of Krolu Mountains.,0.36883688707312123,42.857142857142854,0.8148148148148148,0.4799999999999999,0.5185185185185186,36.88368870731211
The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .,The Ro Blanco mine is located in the north of the country.,0.2577729735754487,52.63157894736842,0.5806451612903226,0.41379310344827586,0.5806451612903226,25.77729735754487
"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .",He played Onoda in AMC's Hell On Wheels and General Tao in the Amazon show The Man at the High Castle.,0.3030300753769133,50.0,0.888888888888889,0.6976744186046512,0.5777777777777778,30.30300753769133
"The spectral levels of light that can be measured by plants for photosynthesis is similar to , but not the same as what 's used by lumens .",The levels of light that can be measured by plants are similar to the levels of light that are used by humans.,0.33929739285670885,50.0,0.6249999999999999,0.43478260869565216,0.6249999999999999,33.929739285670884
The Sunset Sunset Road comes from right and becomes Briscoe Mountain Road .,The Sunset Sunset Road goes from right to left.,0.2405199074547052,53.84615384615385,0.5714285714285715,0.4210526315789474,0.5714285714285715,24.051990745470516
"To get there , take the Marine Drive from the Lions Gate Bridge to the West , past Lighthouse Park , Horseshoe Bay and then further on to the 7100 Marine Drive block .","To get there, you have to take the Marine Drive from the Lions Gate Bridge to the West, past Lighthouse Park, and then further on to the 7100 Marine Drive block.",0.8151913639513584,35.294117647058826,0.9180327868852459,0.847457627118644,0.9180327868852459,81.51913639513582
"Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale , Inverallan and Advie '' in Morayshire in Scotland .",Inverallan is one of the parishes that formed the civil parish of Advie in Scotland.,0.20590710516101057,53.57142857142857,0.7567567567567568,0.5714285714285714,0.7567567567567568,20.59071051610105
Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu .,Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg.,0.6694048285186806,41.66666666666667,0.8421052631578948,0.8235294117647058,0.8421052631578948,66.94048285186803
"For ideal gases , the molar volume is given by the ideal gas equation , a good approximation for many usual gases at standard temperature and pressure .",The ideal gas equation is a good approximation for many usual gases at standard temperature and pressure.,0.4530870730344655,46.42857142857143,0.8095238095238095,0.7000000000000001,0.7619047619047621,45.30870730344653
John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut .,John Barrow Island is part of the Queen Elizabeth Islands.,0.221983935927662,63.63636363636363,0.5806451612903225,0.48275862068965514,0.5806451612903225,22.19839359276621
It was chosen as the 19th best movie at the 7th Yokohama Film Festival .,"At the 7th Yokohama Film Festival, it was chosen as the 19th best movie.",0.6147881529512643,33.33333333333333,1.0,0.9230769230769231,0.5714285714285714,61.47881529512643
"Christopher Griffiths ( born Christopher Llewellyn ) is an actor , best known for his role as Logan in the 2002 film `` Where Were We ... '' .","In the 2002 film  Where Were We...', Christopher Griffiths was best known for his role asLogan.",0.29896163494449285,65.51724137931035,0.7368421052631579,0.611111111111111,0.3684210526315789,29.896163494449276
"Netanya is located on the Israeli Mediterranean Coastal Plain , the historic land bridge between Europe , Africa , and Asia .","The historic land bridge between Europe, Africa, and Asia is located on the Israeli Mediterranean Coastal Plain.",0.7366140739862848,40.909090909090914,0.9714285714285714,0.9090909090909091,0.5142857142857143,73.6614073986285
Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus .,Megasaurus is owned by Rick and Sheri Dorritie.,0.2806505125661568,66.66666666666666,0.7272727272727273,0.5,0.5454545454545454,28.065051256615686
All five events started the last day and concluded with the final on the first day .,The final of the five events took place on the first day.,0.2603649674752887,64.70588235294117,0.6428571428571429,0.3846153846153846,0.42857142857142855,26.036496747528858
"In January 2011 , FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue .",The venue was inspected in January of 2011.,0.0,90.9090909090909,0.4285714285714285,0.15384615384615385,0.21428571428571425,1.5048141517649332
The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .,Some experts think that the artist who decorated the tomb was a red metic because of the strong influence of the Greek vase painting.,0.5269454215048226,45.83333333333333,0.8333333333333334,0.6956521739130435,0.5416666666666666,52.694542150482285
A unique feature of the human metate is the lack of ceremonial figures .,There are no ceremonial figures in the human metate.,0.0,78.57142857142857,0.4545454545454546,0.3,0.27272727272727276,13.779555250377765
"Durr was born in Birmingham , Alabama , where she was brought up by southern women , but was also taught that the Ku Klux Klan were protectors of black femaleness .",The Ku Klux Klan were protectors of black femaleness and Durr was taught that when she was a child.,0.243416595261322,62.5,0.6382978723404255,0.4888888888888889,0.3829787234042553,24.341659526132194
"Katrina M. of Sputinik Music was positive and said that the song is reverse , bright and cheerful .","The song is reverse, bright and cheerful according to the Sputinik Music.",0.32778769315609185,84.21052631578947,0.6206896551724139,0.5185185185185185,0.4827586206896552,32.778769315609196
